QCM || Question 1 :  Virus: || V:  peut infecter des bactéries, des cellules animales ou végétales | V:  sont répliqués par la cellule quʼils parasitent |   ne peut infecter que lʼhomme | V:  nʼont pas les capacités propre de synthèse protéique |   ont une structure procaryote | V: sont des microorganismes parasites |   sont des microorganismes commensales | V:  sont répliqués dans le cytoplasme ou dans le noyau de la cellule hôte |   sont appelé aussi viroïdes |   ont des capacités de synthèse de protéines mais pas de synthèse dʼénergie
QCM || Question 52 :  La prévention des infections nosocomiales (infections associées aux soins de santé) implique : ||   il n'est pas nécessaire d'isoler les patients ayant une forte sensibilité à l'infection afin de les protéger en cas d'épidémie | V:  le lavage des mains avant et après tout contact avec le patient | V:  lʼisolement des patients colonisés ou atteints d'infections causées par des souches "dangereuses" |   il n'est pas nécessaire de faire des circuits séparés pour le matériel stérile et le matériel contaminé | V:  les mesures visant à empêcher le personnel hospitalier d'être un réservoir d'agents infectieux | V: le respect rigoureux de la méthode aseptique dans toute manœuvre invasive |   il n'est pas nécessaire d'incinérer le matériel contaminé, car il est stocké dans des sacs spéciaux |   le personnel médical ne peut pas être une source d'infection pour les infections nosocomiales | V:  stérilisation ou désinfection des instruments utilisés dans les procédures exploratoires ou thérapeutiques |   si nous portons des gants, il n'est pas nécessaire de se décontaminer en se lavant à l'eau et au savon
QCM || Question 53 :  Un vaccin vivant atténué est contre-indiqué dans : || V:   Personne allergique |   Patient souffrant d'hypoacousie |   Patient avec une verrue palmaire |   Patient souffrant d'un ulcère gastrique | V: Le sucre sous la protection des anticorps maternels | V: Femme enceinte |  Enfant de moins de 2 ans | V: Patient immunodéprimé en cas de vaccins vivants atténués | V: Patient fébrile |  Adolescents
QCM || Question 54 :  Préparations pour les immunisations artificielles actives : || V:  Polysaccharides capsulaires | V:  Micro-organismes tués | V: Anatoxine | V:  Micro-organismes atténués |   Gammaglobulines |  Anticorps maternels |   Sérum immunitaire | V:  ARNm |   Anticorps préformés |   Antibiotiques à large spectre
QCM || Question 55 :  Séroprophylaxie || V:  Indiqué chez les personnes atteintes d'agammaglobulinémie. |   Se réfère à l'administration de toxoïdes | V:  Offre une protection immédiate |   Est une méthode non spécifique de prophylaxie |   Utilisé à titre prophylactique chez les personnes atteintes de la maladie sérique. | V: Non suivi par l'apparition d'une mémoire immunologique |   Utilise des lymphocytes T spécifiquement sensibilisés | V:  Les anticorps préformés sont administrés |   Offre une protection à vie | V:  Fournit une protection pour une durée limitée
QCM || Question 56 :  Chimioprophylaxie : || V:   Peut être indiqué pour la suppression d'une épidémie (par exemple, une maladie à méningocoques). | V:   Prévient les infections | V:   Efficacité immédiate |   Ne peut être utilisé dans la prophylaxie de la tuberculose. |   N'influence pas le phénomène de la résistance aux antibiotiques |  Ne peut être utilisé dans la prophylaxie du rhumatisme articulaire aigu. |   La protection fournie survient après environ 3 semaines |  La voie d'administration est intramusculaire | V:  L'efficacité dure aussi longtemps que le médicament est administré | V:   Peut générer une dysbiose, notamment une candidose
QCM || Question 57 :  Indications pour la chimioprophylaxie : || V:  Prévention de la colonisation anormale | V:  Prévention d'un foyer épidémique dans une communauté fermée |   Prévention de l'empoisonnement | V:  Prévention de la tuberculose |   Prévention de la sécheresse des muqueuses |  Prévention de la dysbiose |  Prévention de la résistance aux antibiotiques | V:  Prévention de la gangrène gazeuse chez les patients présentant des plaies | V:  Prévention des maladies post-streptococciques |   Prévention du tétanos chez les patients présentant des plaies
QCM || Question 58 :  Mesures visant à interrompre la transmission des infections fermées : || V:  Destruction des insectes suceurs de sang  | Éducation sexuelle |  Lavage des mains |  Pasteurisation | V: Stérilisation des instruments réutilisables | V: Lutte contre les parasites |  Port de masques chirurgicaux |  Mise en quarantaine des porteurs sains | V: Utilisation d'instruments médicaux jetables | V: Dépistage des donneurs de sang
QCM || Question 59 :  Les inconvénients collectifs de la chimioprophylaxie sont les suivants : ||   Émergence d'une pandémie | V: Peut favoriser la sélection de souches résistantes | V: Candidose vaginale |  Début d'une épidémie | V:  Amplification du patrimoine génétique de la résistance aux antibiotiques |   Désamplification du pool de gènes de résistance aux antibiotiques | V: Candidose intestinale |  Maladie infectieuse induite | 	Réactivation d'une infection latente | V:  Candidose buccale
QCM || Question 60 :  Mesures non spécifiques pour prévenir les infections chez l'homme : ||  Administration d'anticorps à l'anatoxine tétanique | V:  Traitement des patients atteints de maladies transmissibles | V:  Réduire le nombre de personnes dans les chambres | V:  Isolement des patients infectieux |   Administration de l'anatoxine tétanique | V:  Contrôle de l'eau potable | V:  Contrôle des aliments |   Administration d'anticorps contre la toxine diphtérique | 	Administration de l'anatoxine diphtérique |    Inoculation de l'antigène de surface du virus de l'hépatite B
QCM || Question 61 :  L'immunisation artificielle passive peut être utile pour : || V:  Prévention de l'infection latente |   Traitement du choc anaphylactique |   Prévention de l'infection gutturale |  Prévention des toxicités graves | V:  Protection des patients agamaglobulinémiques contre les infections par des bactéries pyogènes |  Traitement de l'infection herpétique latente | V:  Protection d'une personne atteinte de la peste et non vaccinée contre le tétanos |   Thérapie de la maladie du sérum | V:  Prévention des intoxications graves | V:  Protection des personnes non vaccinées en cas de risque d'infection virale grave
QCM || Question 62 :  Préparations pour les immunisations passives : || V: Sérums hyperimmuns hétérologues purifiés et concentrés | V: Gammaglobulines humaines standard |  Toxine tétanique purifiée et concentrée |  Polysaccharides capsulaires | V: Immunoglobulines humaines hyperimmunes spécifiques |  Anatoxine tétanique | V: Anticorps monoclonaux synthétiques |  Toxine diphtérique purifiée et concentrée | V: Sérums hyperimmuns hétérologues bruts |  Anatoxine diphtérique
QCM || Question 63 :  Les types de vaccins peuvent être : ||   génétiquement amplifié | V:  vaccins synthétiques : polypeptides ou oligopeptides représentant des épitopes d'antigènes de virulence | V:  composants microbiens purifiés : toxoïdes (tétanos, diphtérie, etc.), polysaccharides capsulaires (méningocoque, pneumocoque), composants de la paroi bactérienne (anti coquelucheux purifié), sous-unités antigéniques virales | V:  vaccins corpusculaires inactivés (coqueluche, choléra, grippe, polio, etc.) | V:  les vaccins clonés, c'est-à-dire le clonage des gènes codant pour l'Ag vaccinale dans des cellules bactériennes ou fongiques (par exemple, anti-hépatite B) | V: les vaccins vivants atténués (vaccin BCG, vaccin contre la polio, vaccin contre la rubéole, vaccin contre la variole, etc.) |   vaccins vivants atténués (coqueluche, choléra, grippe, polio, etc.) |   les vaccins corporels (vaccin BCG, vaccin contre la polio, vaccin contre la rubéole, vaccin contre la varicelle, etc.) |   polysaccharides capsulaires (staphylocoque, bacille de la diphtérie) |   vaccins synthétiques : endotoxines représentant des paratopes d'antigènes de virulence
QCM || Question 64 :  L'efficacité d'un vaccin dépend de : ||   Température ambiante | V:  Un temps suffisant pour que la réponse immunitaire se manifeste. | V:  Intervalle de temps suffisant pour le développement des effecteurs immunitaires |   Administrer tôt après le début de l'infection | V:  La capacité de l'hôte à mettre en place une réponse immunitaire. | V: La qualité immunogène du vaccin |   Zone géographique |  Ajout d'un désinfectant puissant |   Administration des injections | V:   Capacité de l'hôte à stocker la réponse immunitaire
QCM || Question 65 :  En ce qui concerne les complications et les contre-indications de la vaccination, nous pouvons dire : ||   il n'y a pas de complications après la vaccination |   aucune réaction allergique n'a été signalée après la vaccination |   il n'y a pas de contre-indication permanente à la vaccination | V:  Les contre-indications temporaires à la vaccination peuvent être : la grossesse ou les traitements immunosuppresseurs (pour les vaccins vivants atténués), les maladies fébriles, les nourrissons sous protection maternelle |   il n'y a pas de contre-indication temporaire à la vaccination | V: maladie infectieuse induite par des vaccins vivants atténués chez des personnes présentant un déficit des défenses immunitaires, peut constituer une complication | V:  les réactions allergiques à médiation cellulaire chez les personnes sensibilisées aux antigènes vaccinaux ou dues à des impuretés dans le milieu de culture, peuvent être des complications de la vaccination | V:  Les contre-indications permanentes à la vaccination peuvent être : les personnes souffrant d'affections atopiques (asthme bronchique, urticaire, eczéma, etc.), l'infection par le VIH (pour les vaccins vivants atténués). |   Les vaccins vivants atténués peuvent être administrés aux personnes immunodéprimées. | V:  les réactions allergiques à médiation humorale chez les personnes sensibilisées aux antigènes vaccinaux ou aux impuretés du milieu de culture peuvent constituer une complication de la vaccination
